data1	d1	d2	d3	d4	d5	pi5		data1	d1	d2	d3	pi3
J1	7	5	1	4	8	5.4		J1	7	5	1	4.8
J2	4	4	17	3	9	12		J2	4	4	17	12.6
J3	14	2	6	11	4	9.6		J3	14	2	6	9.6
J4	6	11	2	18	5	12		J4	6	11	2	7.8
J5	4	10	3	9	18	12.6		J5	4	10	3	7.8
J6	15	9	17	3	5	12		J6	15	9	17	15.6
J7	13	17	18	3	2	12		J7	13	17	18	18.6
J8	14	20	8	12	3	13.8		J8	14	20	8	16.8
J9	11	19	16	6	11	15		J9	11	19	16	18
J10	16	2	20	19	13	13.2		J10	16	2	20	13.2
data2	10	3	4	4	7	7.8		data2	10	3	4	7.8
	3	2	10	2	16	10.8			3	2	10	7.2
	10	2	1	14	9	9			10	2	1	6.6
	1	8	8	6	16	10.2			1	8	8	5.4
	19	9	1	4	9	12			19	9	1	12
	7	19	13	8	11	15.6			7	19	13	15.6
	9	16	5	11	19	14.4			9	16	5	12.6
	19	5	17	15	10	14.4			19	5	17	14.4
	8	12	13	16	17	15			8	12	13	12.6
	19	20	15	13	11	18.6			19	20	15	21
data3	11	5	4	15	1	9.6		data3	11	5	4	9
	12	4	3	7	12	9			12	4	3	9
	13	5	6	9	5	10.8			13	5	6	10.8
	13	5	7	12	2	9			13	5	7	10.8
	8	7	19	6	6	15			8	7	19	15.6
	18	5	9	6	10	13.8			18	5	9	13.8
	12	9	9	11	10	12.6			12	9	9	12.6
	19	4	20	3	15	13.8			19	4	20	14.4
	17	10	9	13	17	15.6			17	10	9	15.6
	8	17	19	5	19	14.4			8	17	19	16.2
data4	4	18	12	3	4	12.6		data4	4	18	12	13.2
	3	20	5	7	7	13.8			3	20	5	13.8
	7	1	13	6	19	12			7	1	13	8.4
	11	14	9	6	6	12			11	14	9	13.8
	14	8	3	20	1	12.6			14	8	3	10.2
	20	4	8	12	4	14.4			20	4	8	14.4
	4	10	12	15	9	11.4			4	10	12	9.6
	14	4	10	17	12	12.6			14	4	10	10.8
	15	12	8	6	18	14.4			15	12	8	13.8
	14	18	4	13	17	13.2			14	18	4	13.2
data5	10	7	2	5	14	9.6		data5	10	7	2	7.2
	10	5	9	13	6	10.8			10	5	9	9
	9	4	6	19	8	13.8			9	4	6	7.8
	7	4	14	5	17	12.6			7	4	14	10.8
	19	4	6	13	10	13.8			19	4	6	13.8
	10	10	4	13	16	12			10	10	4	8.4
	1	19	13	10	13	12			1	19	13	12
	1	15	16	14	14	10.2			1	15	16	10.2
	16	15	11	3	17	12			16	15	11	16.2
	16	13	12	15	9	15			16	13	12	16.8
data6	19.10 	7.53 	15.29 	10.13 	16.23 	15.98 		data6	10.72 	10.94 	7.96 	11.34 
	8.65 	3.28 	5.87 	5.83 	16.94 	12.14 			13.98 	17.02 	16.00 	18.60 
	12.05 	2.35 	2.08 	18.74 	15.20 	12.49 			9.88 	10.14 	8.97 	11.46 
	4.39 	1.23 	4.72 	6.50 	15.10 	9.80 			14.46 	15.33 	16.30 	18.46 
	14.97 	2.77 	11.30 	4.83 	9.03 	10.64 			10.46 	8.46 	4.19 	8.79 
	19.13 	18.83 	4.44 	6.15 	8.87 	14.14 			17.85 	12.21 	4.64 	13.49 
	19.39 	4.95 	5.78 	6.85 	13.87 	14.60 			9.83 	14.69 	13.11 	14.71 
	15.67 	19.08 	11.38 	11.94 	4.92 	14.40 			14.50 	8.54 	5.05 	11.73 
